Weight,Height,Age,Gender,Goal,Activity_Level,Water_Intake(L),Protein_Intake(g),Diet_Plan,Food_Items
62.83831568974037,196.2624158707833,37,Female,Maintenance,Moderate,3.3,100.5,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
71.29695700716763,159.02876725636668,35,Female,Muscle Gain,Moderate,3.7,142.6,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
86.73295021425665,178.39726152763149,38,Male,Fat Loss,Active,6.1,104.1,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
80.2361513049481,195.7744148794021,21,Male,Maintenance,Active,5.6,128.4,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
70.38603981386294,151.69729892928993,50,Female,Muscle Gain,Sedentary,3.0,140.8,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
92.82970263056657,184.871013362342,44,Male,Fat Loss,Active,6.5,111.4,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
59.76457024564293,164.86745036862754,24,Female,Maintenance,Moderate,3.1,95.6,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
70.45012539746527,196.2198097688265,23,Female,Maintenance,Active,4.9,112.7,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
75.64532903055841,198.55291225826838,32,Male,Muscle Gain,Sedentary,3.2,151.3,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
81.92489889519251,197.21332445567168,35,Female,Fat Loss,Active,5.7,98.3,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
104.96231729751095,173.7107108328732,49,Female,Fat Loss,Moderate,5.5,126.0,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
63.97716475108518,193.10213254946567,28,Male,Maintenance,Moderate,3.4,102.4,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
85.9964106889528,192.2274699267535,37,Male,Maintenance,Sedentary,3.6,137.6,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
91.46901982034296,165.95502366216277,41,Female,Maintenance,Active,6.4,146.4,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
53.25152889039984,191.44577370753387,32,Male,Fat Loss,Active,3.7,63.9,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
92.5281396331007,151.85038173577462,24,Male,Muscle Gain,Active,6.5,185.1,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
61.936688658110405,179.81349392410266,38,Female,Muscle Gain,Moderate,3.3,123.9,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
54.55361150896957,161.50044186438515,59,Male,Fat Loss,Sedentary,2.3,65.5,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
116.42198760773333,156.02834428886393,43,Male,Muscle Gain,Active,8.1,232.8,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
117.59424231521916,153.84766008146045,31,Female,Maintenance,Moderate,6.2,188.2,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
106.58781436815228,184.814438793907,54,Male,Muscle Gain,Moderate,5.6,213.2,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
71.32296384213595,166.99374818840332,38,Male,Muscle Gain,Moderate,3.7,142.6,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
56.83704798044687,186.23833857643808,35,Female,Muscle Gain,Active,4.0,113.7,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
97.89631185585098,153.26781703994712,22,Female,Maintenance,Active,6.9,156.6,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
80.81067456177209,165.76451689153052,20,Female,Fat Loss,Active,5.7,97.0,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
58.54267643913452,176.97456461876686,40,Male,Maintenance,Active,4.1,93.7,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
84.6623837077889,189.5361582419482,43,Female,Fat Loss,Active,5.9,101.6,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
52.40719647806529,165.9376251466035,54,Female,Fat Loss,Active,3.7,62.9,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
113.65242814551475,181.29456882185045,41,Male,Fat Loss,Active,8.0,136.4,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
68.11459871200118,194.29888741180935,36,Female,Muscle Gain,Active,4.8,136.2,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
96.37655990477873,180.79315940911522,42,Female,Muscle Gain,Active,6.7,192.8,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
71.81977532625876,161.6479737376817,38,Female,Fat Loss,Moderate,3.8,86.2,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
86.40476148244676,151.2200390778269,29,Female,Fat Loss,Active,6.0,103.7,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
88.26971955402958,193.5049436950465,58,Male,Muscle Gain,Sedentary,3.7,176.5,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
62.93981188678689,151.06347054251935,50,Female,Maintenance,Moderate,3.3,100.7,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
117.8709239435191,193.73508363420996,21,Female,Fat Loss,Active,8.3,141.4,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
104.25929763527802,176.4468567013606,59,Male,Maintenance,Sedentary,4.4,166.8,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
115.76492590949324,196.9533849256448,24,Female,Muscle Gain,Active,8.1,231.5,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
112.63791452993541,189.93916178868326,39,Male,Fat Loss,Sedentary,4.7,135.2,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
91.85299851677595,199.89670552666686,50,Male,Maintenance,Sedentary,3.9,147.0,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
114.53119645161817,167.53559077258552,34,Male,Maintenance,Sedentary,4.8,183.2,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
56.194475143634364,188.35941444655634,41,Female,Maintenance,Sedentary,2.4,89.9,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
63.718800369340165,170.0965456804621,51,Male,Muscle Gain,Moderate,3.3,127.4,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
53.16591022373766,173.99378101519545,45,Male,Muscle Gain,Moderate,2.8,106.3,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
72.7731231534285,181.3752731609185,58,Male,Maintenance,Sedentary,3.1,116.4,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
77.20741027826374,193.68385570931693,56,Female,Maintenance,Active,5.4,123.5,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
68.99443222417271,199.20417345996475,39,Female,Muscle Gain,Sedentary,2.9,138.0,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
108.01162564063506,188.41367069322592,34,Female,Maintenance,Moderate,5.7,172.8,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
74.97273286855125,170.8883391083667,51,Female,Maintenance,Active,5.2,120.0,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
69.66541567811666,171.06785011385352,23,Female,Muscle Gain,Moderate,3.7,139.3,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
87.9887258210774,186.87911507944457,23,Female,Maintenance,Moderate,4.6,140.8,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
59.86469574823339,161.9388572884151,51,Female,Maintenance,Active,4.2,95.8,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
106.15378865278278,155.52370565656975,18,Male,Maintenance,Sedentary,4.5,169.8,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
55.21854505758396,167.73110788203883,27,Male,Muscle Gain,Sedentary,2.3,110.4,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
119.08208556203621,164.36194958270409,38,Male,Maintenance,Sedentary,5.0,190.5,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
104.05713385076602,164.8154060227995,22,Male,Muscle Gain,Sedentary,4.4,208.1,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
63.91009770739207,161.6803875524955,19,Female,Muscle Gain,Active,4.5,127.8,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
50.386548198652164,152.1046594818181,39,Male,Fat Loss,Active,3.5,60.5,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
107.0822999918384,150.89369673667068,19,Male,Fat Loss,Active,7.5,128.5,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
99.48001406933321,199.3861194868016,27,Male,Maintenance,Moderate,5.2,159.2,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
101.03050176286911,171.38865668679313,51,Male,Muscle Gain,Active,7.1,202.1,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
103.9889242680162,169.21633235798407,33,Female,Fat Loss,Sedentary,4.4,124.8,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
55.183125621386324,183.9823641346535,56,Female,Maintenance,Moderate,2.9,88.3,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
75.09260099809909,160.91269439325322,39,Female,Fat Loss,Sedentary,3.2,90.1,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
58.110834166759076,197.49805919751128,29,Male,Fat Loss,Sedentary,2.4,69.7,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
110.41723981129155,189.3172507207776,41,Female,Muscle Gain,Active,7.7,220.8,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
93.63086887792906,154.47055011561298,57,Male,Muscle Gain,Active,6.6,187.3,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
73.16286173968544,170.8790387892464,55,Female,Fat Loss,Sedentary,3.1,87.8,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
54.44908452002166,193.95591537810824,27,Female,Fat Loss,Sedentary,2.3,65.3,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
71.76876252009635,197.2366011145705,52,Female,Muscle Gain,Moderate,3.8,143.5,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
72.76283254187229,173.3700755624935,49,Female,Maintenance,Active,5.1,116.4,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
101.07243248366449,180.67056946053538,24,Female,Muscle Gain,Moderate,5.3,202.1,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
94.62902299486493,158.35169730460376,38,Male,Fat Loss,Moderate,5.0,113.6,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
112.10489198034286,199.55843130684883,37,Female,Maintenance,Moderate,5.9,179.4,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
83.05504476133646,161.58358506917216,43,Male,Fat Loss,Sedentary,3.5,99.7,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
58.37159721568112,197.1365887067563,21,Male,Maintenance,Moderate,3.1,93.4,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
99.92713510560965,182.4823324496184,39,Male,Fat Loss,Moderate,5.2,119.9,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
103.25495340318282,180.38683974394297,32,Male,Maintenance,Sedentary,4.3,165.2,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
89.28940382986474,175.63442555082543,57,Male,Maintenance,Active,6.3,142.9,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
103.96770259681927,161.53349058588793,38,Female,Fat Loss,Active,7.3,124.8,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
84.56569174550735,158.8264016002754,32,Female,Maintenance,Moderate,4.4,135.3,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
86.59129805673959,161.02431045350878,39,Female,Muscle Gain,Sedentary,3.6,173.2,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
79.92787128509848,159.32191310721274,45,Female,Fat Loss,Active,5.6,95.9,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
51.77933887208666,188.97922367833766,31,Male,Muscle Gain,Moderate,2.7,103.6,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
57.552399889531316,167.5062629583365,44,Female,Fat Loss,Moderate,3.0,69.1,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
52.200042998071396,152.89213382816982,58,Female,Maintenance,Sedentary,2.2,83.5,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
94.54872878846463,198.45513150704056,57,Male,Maintenance,Moderate,5.0,151.3,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
72.00491867534286,194.18929424817128,45,Male,Maintenance,Active,5.0,115.2,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
85.5999483815292,196.38761415976063,43,Female,Fat Loss,Sedentary,3.6,102.7,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
113.5296531748265,199.74539113232177,19,Female,Muscle Gain,Active,7.9,227.1,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
67.45045604042124,158.69476246097437,42,Male,Muscle Gain,Active,4.7,134.9,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
78.72680461249408,169.81210094513293,20,Female,Fat Loss,Active,5.5,94.5,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
102.88857969801342,187.91192378520458,25,Female,Fat Loss,Moderate,5.4,123.5,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
66.01587158441357,184.8010309026896,50,Female,Muscle Gain,Moderate,3.5,132.0,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
55.38859368801551,157.69479531699275,59,Female,Muscle Gain,Active,3.9,110.8,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
70.28260170396376,190.7916562495309,52,Male,Muscle Gain,Active,4.9,140.6,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
61.285490107780305,161.22202859183304,23,Male,Muscle Gain,Sedentary,2.6,122.6,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
115.07883566398012,161.19088074113117,56,Male,Fat Loss,Sedentary,4.8,138.1,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
106.56842656950919,176.8487211446707,40,Female,Fat Loss,Moderate,5.6,127.9,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
94.33826295572965,179.64699674208515,42,Female,Maintenance,Moderate,5.0,150.9,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
111.00224131314025,179.00431039189056,36,Female,Muscle Gain,Sedentary,4.7,222.0,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
106.257045382938,154.57434186988775,22,Female,Maintenance,Active,7.4,170.0,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
63.05990412202251,193.873043131519,28,Female,Fat Loss,Moderate,3.3,75.7,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
112.47912989429844,163.2800021294353,29,Male,Fat Loss,Active,7.9,135.0,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
87.75395693409556,156.4757460641402,27,Female,Maintenance,Sedentary,3.7,140.4,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
106.52081086148438,194.43740399344887,25,Female,Muscle Gain,Moderate,5.6,213.0,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
112.72639099464453,197.78257491148767,41,Male,Muscle Gain,Moderate,5.9,225.5,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
72.26024324803046,193.10638086327253,45,Female,Muscle Gain,Sedentary,3.0,144.5,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
57.70363471693737,190.4758037362439,58,Male,Muscle Gain,Moderate,3.0,115.4,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
65.95546137793592,182.7620990319511,53,Male,Maintenance,Sedentary,2.8,105.5,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
79.89754520383795,177.54286853045696,54,Male,Maintenance,Moderate,4.2,127.8,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
107.26103361457452,154.3493379955705,38,Male,Fat Loss,Sedentary,4.5,128.7,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
110.25114082794404,170.42266065353493,25,Male,Muscle Gain,Moderate,5.8,220.5,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
50.48664913718335,168.63442585061568,26,Female,Muscle Gain,Active,3.5,101.0,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
85.7523111804296,162.9876891880163,32,Male,Muscle Gain,Active,6.0,171.5,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
79.21877022041453,186.17100568442925,57,Male,Maintenance,Active,5.5,126.8,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
65.54754673295112,174.79378675393855,35,Female,Muscle Gain,Moderate,3.4,131.1,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
58.3905757133578,154.0523107953824,59,Female,Maintenance,Moderate,3.1,93.4,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
73.63306199825396,161.00916009749056,37,Male,Muscle Gain,Active,5.2,147.3,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
116.00367927387634,184.1629381829798,23,Female,Muscle Gain,Active,8.1,232.0,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
72.62420524145287,153.806542974515,29,Female,Fat Loss,Sedentary,3.1,87.1,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
86.31534352203562,192.56034570243844,19,Male,Muscle Gain,Sedentary,3.6,172.6,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
99.21132712266245,174.75732635069872,24,Male,Muscle Gain,Sedentary,4.2,198.4,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
75.45407216655057,174.0293288663324,33,Female,Fat Loss,Active,5.3,90.5,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
118.02474579046725,179.62038923297587,20,Male,Maintenance,Active,8.3,188.8,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
117.37131064594779,191.23404829625747,20,Male,Maintenance,Active,8.2,187.8,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
67.6247607077755,167.39046039510964,44,Female,Muscle Gain,Sedentary,2.8,135.2,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
84.80739541246697,183.90080762795318,57,Male,Maintenance,Moderate,4.5,135.7,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
71.06148168717388,178.28659819978955,55,Male,Muscle Gain,Active,5.0,142.1,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
69.93883460642273,163.35141350847107,50,Male,Fat Loss,Moderate,3.7,83.9,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
52.582086314817296,193.9314993177579,45,Male,Fat Loss,Moderate,2.8,63.1,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
92.66950337859278,189.8713010803464,18,Male,Muscle Gain,Moderate,4.9,185.3,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
85.1875316260203,182.92259173292126,25,Female,Fat Loss,Sedentary,3.6,102.2,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
53.60351258749925,192.5290864547121,54,Female,Fat Loss,Moderate,2.8,64.3,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
69.5052524965628,193.36471004799012,49,Male,Muscle Gain,Active,4.9,139.0,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
113.57861201766576,185.41814883575174,54,Female,Muscle Gain,Sedentary,4.8,227.2,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
66.76933234668807,191.8506664181836,21,Male,Fat Loss,Active,4.7,80.1,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
60.14264104638562,184.87357308346418,47,Male,Maintenance,Active,4.2,96.2,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
84.26169321942942,184.007038588015,23,Male,Maintenance,Sedentary,3.5,134.8,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
118.99553178774205,180.9305689107592,36,Male,Muscle Gain,Active,8.3,238.0,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
66.94386900580503,187.63583197788205,49,Male,Muscle Gain,Active,4.7,133.9,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
97.0494883184115,157.93025526465368,26,Female,Maintenance,Sedentary,4.1,155.3,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
103.31337307301024,194.04353795994643,29,Female,Fat Loss,Active,7.2,124.0,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
66.63462807946797,193.5921763872616,28,Male,Maintenance,Moderate,3.5,106.6,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
100.97514440283017,151.46236415172797,33,Female,Maintenance,Active,7.1,161.6,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
75.74481929034772,191.29083752823814,18,Male,Maintenance,Moderate,4.0,121.2,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
94.26140814155056,156.44349337367225,38,Female,Maintenance,Active,6.6,150.8,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
94.34707975326262,166.7559427129571,47,Male,Muscle Gain,Sedentary,4.0,188.7,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
87.50422788523309,187.1754128145804,30,Female,Muscle Gain,Sedentary,3.7,175.0,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
56.32028390380858,158.0379948024154,51,Male,Fat Loss,Active,3.9,67.6,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
108.47117469124666,190.8983512059531,21,Male,Fat Loss,Sedentary,4.6,130.2,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
72.4546045480215,191.6067088978871,45,Female,Fat Loss,Active,5.1,86.9,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
63.0562957279898,175.37338668804182,55,Female,Fat Loss,Sedentary,2.6,75.7,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
52.85425990883348,150.31929358584168,48,Male,Maintenance,Moderate,2.8,84.6,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
91.36250602317693,164.35190665874563,44,Female,Muscle Gain,Active,6.4,182.7,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
97.42950532895978,180.8463459187871,22,Male,Muscle Gain,Moderate,5.1,194.9,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
51.16114802494993,199.05930890137117,42,Female,Fat Loss,Moderate,2.7,61.4,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
85.84651408094967,181.5906763508334,20,Female,Fat Loss,Active,6.0,103.0,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
65.85470426385565,162.99017905320798,50,Male,Maintenance,Moderate,3.5,105.4,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
95.1620953286615,181.70028515498058,21,Female,Maintenance,Active,6.7,152.3,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
62.2056500303494,176.99926898579278,42,Female,Fat Loss,Moderate,3.3,74.6,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
98.36564166717261,188.99226975755718,37,Male,Muscle Gain,Active,6.9,196.7,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
77.07147424103762,155.34903194134793,51,Female,Muscle Gain,Active,5.4,154.1,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
115.57109921157142,188.0513951251014,43,Male,Muscle Gain,Sedentary,4.9,231.1,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
59.62646609021952,177.0633289338055,22,Male,Fat Loss,Active,4.2,71.6,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
73.8746445735181,198.14960019294972,52,Male,Muscle Gain,Active,5.2,147.7,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
57.943146486841236,167.0936083019343,45,Male,Maintenance,Moderate,3.0,92.7,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
114.7285532794994,181.6310946566974,46,Male,Maintenance,Active,8.0,183.6,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
111.41375473666866,196.60140527550087,26,Female,Fat Loss,Sedentary,4.7,133.7,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
68.05591394006089,155.12548639953397,55,Male,Maintenance,Moderate,3.6,108.9,Balanced Diet,"Quinoa, Mixed Vegetables, Yogurt"
96.19888322239254,196.86142436182257,23,Male,Fat Loss,Moderate,5.1,115.4,"Low Carb, High Protein","Chicken Breast, Broccoli, Almonds"
107.20555401408511,184.39428611504067,36,Female,Muscle Gain,Sedentary,4.5,214.4,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
88.86405681196237,153.3918529552586,28,Female,Muscle Gain,Moderate,4.7,177.7,"High Protein, Moderate Carb","Eggs, Brown Rice, Sweet Potato"
